epoch,train_accuracy,validation_accuracy
0,44.6875,60.95
1,60.34375,63.5
2,63.90625,64.975
3,65.71875,69.275
4,66.34375,62.575
5,65.5625,67.15
6,66.3125,62.375
7,66.0,70.85
8,69.96875,68.95
9,69.5,71.0
10,69.78125,69.125
11,70.25,67.5
12,70.5625,72.7
13,69.71875,71.075
14,71.875,73.075
15,73.125,69.5
16,72.84375,73.125
17,71.4375,71.8
18,73.6875,75.15
19,74.75,75.35
20,74.125,75.675
21,74.25,72.475
22,75.5,74.45
23,77.09375,75.55
24,74.59375,75.3
25,74.5,76.775
26,76.46875,76.475
27,75.75,76.325
28,74.71875,75.8
29,75.03125,73.2
30,78.625,75.675
31,78.0625,76.475
32,77.25,75.875
33,78.15625,76.625
34,77.0625,73.0
35,76.46875,74.85
36,76.65625,76.55
37,79.625,76.7
38,78.15625,76.975
39,78.0,75.95
40,77.09375,76.8
41,79.3125,75.675
42,78.4375,76.775
43,78.0,75.875
44,79.03125,76.35
45,80.78125,78.05
46,79.90625,75.25
47,80.0,76.35
48,79.75,77.2
49,81.21875,78.875
50,80.53125,78.625
51,81.65625,79.125
52,81.15625,78.7
53,82.5625,78.725
54,82.25,78.225
55,82.21875,78.575
56,81.9375,80.175
57,81.125,78.0
58,81.90625,80.375
59,82.78125,79.35
60,82.84375,79.1
61,82.5625,78.325
62,82.84375,78.225
63,81.84375,80.525
64,83.5625,78.675
65,83.1875,77.95
66,81.65625,80.5
67,82.84375,80.5
68,84.0,79.525
69,84.5,79.375
70,82.96875,79.3
71,82.78125,77.45
72,83.34375,78.375
73,82.84375,80.525
74,84.4375,80.1
75,83.8125,79.975
76,84.5625,81.325
77,84.15625,80.025
78,85.125,80.85
79,83.84375,80.125
80,84.59375,81.25
81,85.34375,81.3
82,84.40625,80.0
83,83.40625,80.25
84,84.0,81.375
85,86.40625,81.35
86,85.125,80.625
87,86.09375,79.85
88,85.1875,80.95
89,84.875,79.625
90,84.40625,79.175
91,84.875,81.225
92,86.0625,81.0
93,85.8125,81.15
94,85.09375,81.35
95,87.03125,81.325
96,87.28125,82.225
97,86.875,81.075
98,86.625,81.875
99,87.3125,81.325
100,86.0625,79.175
101,84.9375,81.275
102,86.4375,80.525
103,84.53125,79.45
104,86.625,80.85
105,86.75,80.425
106,86.0,81.225
107,87.875,81.125
108,87.125,81.825
109,88.15625,81.175
110,87.46875,81.775
111,86.4375,81.95
112,87.4375,81.425
113,87.96875,81.9
114,87.09375,80.725
115,86.96875,80.325
116,87.0625,81.65
117,88.125,81.85
118,88.53125,81.15
119,88.46875,81.9
120,88.3125,81.85
121,88.4375,81.6
122,88.6875,80.925
123,87.375,79.275
124,88.15625,81.275
125,89.28125,82.425
126,89.0625,82.75
127,89.03125,82.05
128,88.15625,80.775
129,88.03125,82.5
130,88.3125,80.725
131,88.90625,82.5
132,89.78125,82.425
133,89.96875,81.925
134,89.375,81.9
135,89.78125,82.875
136,90.21875,82.575
137,90.0,81.65
138,90.3125,82.775
139,90.46875,80.9
140,90.71875,82.35
141,90.90625,82.85
142,90.90625,82.475
143,90.28125,81.375
144,87.40625,82.6
145,88.40625,80.925
146,90.71875,83.2
147,90.6875,82.9
148,90.78125,83.125
149,90.28125,81.975
150,92.03125,82.95
151,91.4375,83.025
152,91.75,83.875
153,91.625,82.825
154,90.4375,83.175
155,90.96875,83.95
156,90.6875,83.8
157,91.96875,83.425
158,90.84375,83.575
159,91.0625,83.65
160,91.8125,82.275
161,92.15625,82.75
162,90.46875,83.175
163,90.75,83.4
164,90.84375,84.125
165,91.5,84.225
166,91.3125,80.7
167,91.40625,83.45
168,91.4375,83.825
169,92.21875,82.375
170,90.4375,82.825
171,91.5625,82.625
172,91.84375,82.9
173,90.25,82.35
174,90.125,83.675
175,91.53125,82.75
176,91.28125,82.7
177,92.5,83.5
178,92.96875,83.225
179,91.90625,83.7
180,92.46875,83.625
181,92.78125,83.15
182,92.6875,83.2
183,93.125,83.925
184,91.875,83.075
185,92.5625,83.4
186,91.8125,83.125
187,92.75,84.2
188,93.09375,83.775
189,93.3125,82.9
190,92.875,84.2
191,93.8125,84.7
192,93.25,84.275
193,92.46875,82.85
194,92.09375,82.025
195,93.4375,84.425
196,92.34375,83.4
197,92.125,82.675
198,92.78125,82.15
199,93.0625,84.35
