epoch,train_accuracy,validation_accuracy
0,24.96875,25.0
1,27.34375,25.0
2,25.0,25.0
3,25.0,25.0
4,25.0,25.0
5,25.0,25.0
6,24.65625,26.25
7,25.09375,25.0
8,25.0,25.0
9,25.0,25.0
10,25.0,25.0
11,25.3125,25.0
12,25.0,25.0
13,25.0,25.0
14,24.9375,23.75
15,25.21875,25.0
16,25.0,25.0
17,25.0,25.0
18,25.125,25.0
19,25.0,25.0
20,24.65625,25.0
21,25.0,25.0
22,25.0,25.0
23,25.0,25.0
24,25.09375,23.75
25,25.3125,23.75
26,25.3125,23.75
27,25.15625,25.0
28,25.0,25.0
29,24.9375,26.25
30,24.6875,26.25
31,24.6875,26.25
32,24.6875,26.25
33,24.6875,26.25
34,26.0625,25.0
35,25.0,25.0
36,25.0,25.0
37,25.0,25.0
38,25.0,26.25
39,24.6875,26.25
40,24.6875,26.25
41,24.6875,26.25
42,24.6875,26.25
43,24.6875,26.25
44,24.71875,25.0
45,25.0,25.0
46,25.0,25.0
47,25.0,25.0
48,25.03125,25.0
49,25.0,25.0
50,25.0,25.0
51,25.0,25.0
52,25.0,25.0
53,25.0,25.0
54,24.78125,25.0
55,25.0,25.0
56,25.0,25.0
57,25.25,26.25
58,24.6875,26.25
59,24.6875,26.25
60,24.6875,26.25
61,24.34375,25.0
62,24.875,25.0
63,25.0,25.0
64,25.0,25.0
65,25.0,25.0
66,25.0,25.0
67,25.0,25.0
68,25.0,25.0
69,25.53125,26.25
70,24.6875,26.25
71,24.6875,26.25
72,24.6875,26.25
73,24.6875,26.25
74,25.21875,23.75
75,25.0625,23.75
76,25.3125,23.75
77,25.3125,23.75
78,25.3125,23.75
79,25.3125,23.75
80,25.3125,23.75
81,25.3125,23.75
82,25.3125,23.75
83,25.3125,23.75
84,25.3125,23.75
85,25.3125,23.75
86,25.125,25.0
87,25.0,25.0
88,25.0,25.0
89,25.0,25.0
90,24.71875,25.0
91,25.0,25.0
92,25.0,25.0
93,25.0,25.0
94,25.0,25.0
95,25.0,25.0
96,25.21875,25.0
97,25.0,25.0
98,23.84375,26.25
99,24.6875,26.25
100,25.21875,23.75
101,25.84375,25.0
102,25.0,25.0
103,24.53125,25.0
104,25.0625,26.25
105,24.75,25.0
106,25.4375,25.0
107,25.0,25.0
108,25.0,26.25
109,24.96875,25.0
110,25.4375,26.25
111,26.34375,25.0
112,24.90625,25.0
113,24.46875,26.25
114,25.46875,25.0
115,25.3125,25.0
116,25.0,25.0
117,25.0,25.0
118,25.0,25.0
119,24.5,25.0
120,25.5625,25.0
121,25.6875,23.75
122,25.3125,23.75
123,25.3125,23.75
124,25.3125,23.75
125,25.3125,23.75
126,25.3125,23.75
127,25.3125,23.75
128,25.21875,23.75
129,25.3125,23.75
130,25.3125,23.75
131,25.3125,23.75
132,25.3125,23.75
133,25.3125,23.75
134,25.3125,23.75
135,25.3125,23.75
136,25.34375,23.75
137,25.3125,23.75
138,25.3125,23.75
139,25.3125,23.75
140,25.3125,23.75
141,25.3125,23.75
142,25.3125,23.75
143,24.5,25.0
144,25.0,25.0
145,25.0,25.0
146,24.46875,25.0
147,25.0,25.0
148,24.9375,26.25
149,24.6875,26.25
