epoch,train_accuracy,validation_accuracy
0,46.84375,60.75
1,64.125,60.375
2,68.0,62.0
3,68.375,68.0
4,70.71875,67.625
5,71.25,73.25
6,71.9375,71.875
7,72.15625,71.625
8,73.125,74.75
9,74.78125,73.0
10,75.65625,73.25
11,76.21875,77.0
12,75.875,75.375
13,78.90625,78.5
14,79.90625,79.625
15,80.46875,78.875
16,81.28125,78.875
17,81.15625,78.75
18,81.46875,80.5
19,81.8125,80.375
20,81.84375,80.875
21,82.21875,81.0
22,82.0625,79.125
23,82.5,81.5
24,83.1875,80.75
25,83.46875,80.375
26,82.59375,81.125
27,82.78125,81.5
28,82.3125,80.625
29,83.21875,81.0
30,82.78125,81.25
31,83.5,80.625
32,83.15625,80.0
33,83.71875,79.875
34,83.03125,79.875
35,83.15625,80.125
36,83.0625,80.125
37,82.96875,80.0
38,83.71875,80.125
39,83.03125,81.625
40,82.96875,80.375
41,82.875,80.75
42,82.625,79.5
43,82.53125,80.625
44,82.625,80.125
45,83.09375,79.5
46,82.96875,80.5
47,82.9375,81.0
48,83.375,80.125
49,83.21875,80.25
50,82.96875,81.0
51,83.15625,80.0
52,83.34375,81.25
53,83.90625,79.375
54,83.4375,81.375
55,83.28125,79.25
56,83.4375,81.125
57,82.84375,79.625
58,83.5625,81.25
59,82.71875,80.5
60,83.09375,81.75
61,83.21875,81.375
62,82.9375,81.0
63,82.5625,79.125
64,82.625,81.125
65,83.59375,81.125
66,83.15625,80.0
67,82.84375,80.0
68,82.65625,79.5
69,83.5,81.625
70,82.90625,80.875
71,83.0,80.125
72,83.71875,79.875
73,82.84375,80.5
74,82.46875,80.0
75,82.875,81.5
76,83.8125,80.625
77,82.75,80.125
78,83.375,79.25
79,82.8125,81.25
80,82.53125,80.625
81,83.4375,79.875
82,83.5,78.875
83,83.25,80.0
84,83.625,80.25
85,83.78125,81.5
86,83.1875,82.25
87,83.90625,81.5
88,83.1875,79.5
89,82.90625,80.125
90,82.9375,79.75
91,83.0625,79.5
92,82.65625,80.125
93,82.71875,81.125
94,82.8125,80.125
95,83.34375,80.625
96,82.5,80.375
97,82.71875,80.125
98,83.3125,82.25
99,82.625,79.875
100,82.59375,79.375
101,83.03125,80.75
102,82.96875,81.5
103,83.46875,80.625
104,83.34375,80.75
105,82.9375,80.25
106,83.4375,80.5
107,83.125,79.75
108,82.53125,79.625
109,82.6875,80.625
110,82.90625,79.5
111,82.78125,80.875
112,83.1875,79.5
113,83.1875,81.25
114,83.40625,81.875
115,82.90625,81.125
116,82.5625,80.25
117,83.375,81.375
118,82.96875,80.875
119,82.8125,80.125
120,83.1875,81.375
121,82.71875,80.25
122,83.0625,80.75
123,83.46875,80.75
124,83.625,79.75
125,83.34375,80.5
126,83.0625,81.625
127,83.0,80.375
128,83.1875,82.0
129,83.15625,78.75
130,82.59375,80.25
131,82.90625,80.0
132,82.78125,79.875
133,83.375,81.375
134,83.53125,80.25
135,83.25,81.5
136,84.0,80.375
137,83.4375,81.625
138,82.84375,80.875
139,83.25,82.75
140,83.40625,80.125
141,83.34375,81.75
142,84.0,78.75
143,83.28125,80.875
144,83.125,79.625
145,83.03125,81.125
146,84.09375,80.0
147,82.6875,80.25
148,83.6875,79.625
149,83.09375,80.375
