epoch,train_accuracy,validation_accuracy
0,24.375,26.25
1,24.6875,26.25
2,24.6875,26.25
3,25.1875,25.0
4,25.15625,26.25
5,24.5,26.25
6,24.3125,26.25
7,24.6875,26.25
8,24.6875,26.25
9,24.375,25.0
10,25.0,25.0
11,25.0,25.0
12,25.21875,25.0
13,25.0,25.0
14,25.0,25.0
15,25.0,25.0
16,26.59375,25.25
17,36.875,37.875
18,39.75,40.5
19,40.59375,40.0
20,43.125,41.125
21,44.53125,41.5
22,43.8125,36.125
23,47.46875,48.0
24,47.40625,47.625
25,49.4375,43.875
26,51.34375,51.25
27,52.59375,52.25
28,52.5625,53.625
29,54.21875,52.125
30,54.15625,52.25
31,54.40625,53.75
32,53.6875,54.125
33,54.25,54.5
34,54.78125,53.0
35,55.40625,54.75
36,56.21875,54.5
37,55.5,55.375
38,55.28125,55.125
39,55.96875,53.625
40,55.6875,54.875
41,54.5,54.25
42,55.65625,54.125
43,55.6875,56.5
44,55.125,54.25
45,55.5625,55.25
46,55.90625,55.0
47,55.3125,55.125
48,57.34375,53.625
49,56.71875,54.875
50,56.65625,54.125
51,56.09375,55.125
52,55.84375,53.75
53,55.84375,55.125
54,56.3125,53.625
55,55.5625,53.875
56,56.25,54.125
57,56.53125,53.875
58,55.28125,53.75
59,56.0,55.5
60,56.09375,55.5
61,56.59375,55.125
62,56.125,54.5
63,55.25,53.75
64,56.15625,53.0
65,55.65625,56.0
66,56.1875,54.75
67,55.4375,55.125
68,56.46875,54.25
69,55.8125,55.25
70,56.0625,54.375
71,56.34375,54.75
72,55.59375,56.5
73,56.0,54.0
74,56.4375,54.75
75,55.6875,55.875
76,55.8125,54.5
77,56.125,55.125
78,56.0,53.625
79,55.5625,55.625
80,56.46875,54.875
81,55.84375,54.5
82,56.75,56.75
83,55.125,53.75
84,56.03125,55.625
85,55.4375,54.875
86,55.71875,55.5
87,55.46875,54.0
88,56.375,55.25
89,55.6875,55.25
90,55.78125,53.125
91,56.15625,54.25
92,56.25,53.5
93,56.5,55.5
94,55.59375,55.375
95,55.3125,54.625
96,56.40625,55.25
97,55.90625,53.75
98,56.125,54.625
99,55.84375,53.5
100,55.96875,54.375
101,56.28125,54.625
102,56.40625,54.125
103,55.1875,56.375
104,55.25,54.75
105,55.71875,54.875
106,56.15625,56.125
107,56.21875,55.875
108,56.34375,55.25
109,56.625,54.625
110,56.0625,55.875
111,56.1875,53.375
112,55.53125,54.5
113,55.875,55.75
114,55.53125,55.75
115,56.4375,55.625
116,55.78125,54.625
117,55.15625,54.0
118,56.5625,55.5
119,56.65625,55.125
120,55.59375,55.25
121,55.75,54.5
122,55.21875,55.5
123,56.40625,54.5
124,56.0,55.25
125,55.65625,54.375
126,55.90625,56.125
127,56.28125,56.125
128,56.4375,54.125
129,55.875,54.875
130,55.375,55.0
131,56.21875,55.875
132,56.25,54.125
133,56.09375,55.125
134,55.125,55.375
135,55.65625,55.375
136,55.40625,55.0
137,55.6875,55.875
138,55.9375,55.25
139,56.1875,55.75
140,55.75,53.875
141,55.5,55.375
142,55.375,55.625
143,56.5625,55.25
144,55.125,55.75
145,56.59375,54.625
146,56.46875,54.375
147,55.96875,54.625
148,55.15625,54.5
149,56.4375,55.125
