epoch,train_accuracy,validation_accuracy
0,34.46875,36.25
1,38.8125,41.0
2,39.96875,41.5
3,38.3125,40.5
4,38.28125,40.875
5,40.15625,40.25
6,39.96875,40.5
7,39.53125,41.125
8,40.75,39.125
9,39.75,40.5
10,40.1875,42.0
11,41.46875,42.25
12,40.6875,42.625
13,40.75,42.0
14,40.84375,42.375
15,40.40625,41.375
16,41.15625,40.375
17,41.90625,43.25
18,40.96875,36.25
19,40.53125,41.0
20,39.0625,39.0
21,40.5625,38.125
22,40.15625,38.375
23,41.875,42.125
24,42.5,41.75
25,42.0,39.125
26,42.84375,41.0
27,43.875,43.0
28,44.25,41.0
29,44.4375,41.125
30,44.625,42.875
31,44.625,44.375
32,44.4375,42.625
33,44.6875,43.125
34,45.1875,43.75
35,45.59375,44.375
36,46.09375,44.5
37,45.75,42.75
38,45.5625,44.625
39,45.90625,43.75
40,45.4375,43.375
41,45.53125,44.0
42,45.875,44.625
43,46.0,44.875
44,46.0,43.875
45,47.0,45.5
46,46.75,44.875
47,46.4375,43.75
48,46.96875,46.5
49,48.71875,47.375
50,51.25,49.875
51,51.53125,47.625
52,51.46875,52.125
53,52.6875,49.875
54,53.03125,54.0
55,52.53125,53.0
56,54.3125,53.375
57,54.53125,54.5
58,55.125,52.875
59,55.59375,52.5
60,54.90625,54.25
61,55.65625,49.375
62,54.0625,53.75
63,55.21875,53.125
64,54.1875,50.375
65,56.21875,55.5
66,56.375,53.375
67,55.09375,58.125
68,56.96875,54.25
69,56.3125,55.5
70,56.53125,56.125
71,56.9375,54.0
72,57.4375,53.625
73,56.84375,54.125
74,57.9375,56.125
75,57.34375,55.5
76,56.09375,53.125
77,57.125,56.5
78,57.625,57.375
79,57.78125,57.5
80,57.125,56.375
81,58.09375,59.875
82,60.90625,63.25
83,64.96875,64.875
84,65.53125,66.0
85,66.78125,64.375
86,66.9375,67.375
87,68.6875,67.625
88,68.03125,68.5
89,68.15625,66.75
90,66.78125,66.125
91,66.625,68.375
92,68.09375,68.375
93,68.4375,63.0
94,66.1875,66.125
95,68.28125,67.0
96,66.40625,65.25
97,69.71875,68.0
98,67.53125,66.375
99,67.125,68.0
100,69.65625,67.625
101,69.25,64.375
102,68.09375,66.375
103,67.3125,68.125
104,69.375,67.125
105,69.90625,65.25
106,68.5625,70.625
107,71.53125,70.25
108,70.5,69.125
109,71.3125,72.875
110,70.21875,70.5
111,71.46875,69.875
112,71.75,74.125
113,71.5,70.25
114,72.34375,72.875
115,70.125,72.875
116,72.09375,70.125
117,71.125,72.125
118,73.0,71.75
119,71.09375,73.625
120,72.78125,71.125
121,71.65625,65.875
122,70.84375,67.625
123,71.46875,66.625
124,68.84375,65.0
125,70.78125,70.5
126,72.46875,72.75
127,72.0625,73.25
128,72.4375,67.25
129,72.53125,71.25
130,73.34375,72.625
131,73.625,70.375
132,72.15625,73.25
133,73.375,70.0
134,73.75,73.625
135,72.84375,66.25
136,71.4375,71.5
137,73.0,69.625
138,74.21875,72.375
139,73.03125,70.0
140,73.75,70.75
141,73.96875,74.5
142,73.0625,72.75
143,74.25,71.25
144,72.5625,69.875
145,74.53125,70.625
146,73.59375,72.875
147,75.46875,73.125
148,75.28125,72.625
149,75.6875,71.125
