epoch,train_accuracy,validation_accuracy
0,1.55,1.64
1,2.142,3.01
2,3.018,3.84
3,3.678,5.66
4,4.826,5.78
5,5.836,6.87
6,6.982,8.21
7,7.81,9.96
8,8.754,9.43
9,9.346,10.43
10,9.888,11.61
11,10.46,11.04
12,11.276,13.53
13,12.046,14.07
14,12.718,15.13
15,13.11,13.48
16,13.542,14.66
17,13.882,15.47
18,14.292,15.95
19,14.85,17.23
20,15.192,16.24
21,15.57,18.07
22,15.706,16.97
23,16.212,18.35
24,16.564,17.95
25,17.016,17.94
26,17.312,19.98
27,17.384,19.16
28,17.916,19.73
29,17.932,19.64
30,17.986,20.71
31,18.526,21.11
32,18.584,20.77
33,18.986,20.87
34,19.15,20.68
35,19.354,19.67
36,19.668,21.31
37,19.704,21.43
38,19.848,22.1
39,19.762,21.61
40,20.072,22.27
41,20.054,21.54
42,20.394,21.24
43,20.26,21.91
44,20.754,22.72
45,20.466,22.16
46,20.708,22.85
47,20.852,21.78
48,21.414,23.43
49,21.69,23.01
