epoch,train_accuracy,validation_accuracy
0,28.84375,32.125
1,34.1875,31.25
2,39.34375,39.125
3,43.625,43.125
4,45.375,50.875
5,45.75,48.25
6,48.625,52.125
7,50.65625,45.75
8,50.1875,51.5
9,52.0,51.125
10,54.15625,53.625
11,55.5625,49.375
12,56.125,58.0
13,56.96875,45.0
14,57.5,57.375
15,56.125,59.125
16,57.71875,60.375
17,58.28125,53.875
18,58.9375,59.125
19,57.90625,59.0
20,58.5,58.625
21,59.375,61.0
22,59.84375,58.75
23,59.21875,59.0
24,60.34375,59.5
25,62.25,59.25
26,62.125,61.625
27,63.375,60.625
28,62.09375,62.5
29,62.3125,54.375
30,62.96875,62.25
31,62.71875,57.5
32,61.875,64.75
33,62.875,63.0
34,63.5625,64.625
35,62.5625,64.75
36,64.96875,63.5
37,64.53125,60.5
38,64.4375,64.625
39,63.6875,60.25
40,63.3125,62.25
41,64.625,62.25
42,64.625,63.375
43,65.78125,57.875
44,65.375,65.25
45,65.65625,65.0
46,66.34375,63.0
47,66.0625,62.875
48,67.09375,63.375
49,64.875,63.0
50,66.6875,64.875
51,65.46875,64.125
52,66.75,65.0
53,64.875,64.25
54,66.71875,60.75
55,66.09375,65.5
56,67.46875,65.125
57,66.25,65.5
58,66.25,64.75
59,66.03125,65.125
60,68.34375,66.75
61,67.84375,66.0
62,68.0,66.5
63,67.28125,64.625
64,68.71875,65.375
65,67.53125,62.875
66,69.0,65.25
67,68.6875,65.625
68,68.03125,66.25
69,68.46875,66.75
70,69.34375,67.875
71,68.71875,65.375
72,68.28125,64.625
73,68.03125,68.0
74,70.125,66.5
75,68.5625,69.375
76,68.90625,65.75
77,69.5625,67.625
78,68.71875,67.625
79,69.25,67.5
80,69.90625,66.375
81,69.25,66.625
82,68.84375,64.875
83,70.21875,63.0
84,68.875,65.125
85,70.28125,63.75
86,68.6875,63.75
87,69.125,64.75
88,69.21875,69.25
89,70.5,66.875
90,69.625,66.25
91,69.59375,69.25
92,70.875,68.375
93,69.78125,68.875
94,71.34375,62.625
95,70.46875,58.125
96,70.15625,67.75
97,71.0,69.0
98,71.21875,68.25
99,70.28125,67.75
100,71.40625,68.25
101,69.84375,68.25
102,69.9375,67.375
103,70.625,68.25
104,71.78125,68.375
105,71.8125,69.0
106,72.0625,66.625
107,71.0,67.125
108,70.65625,66.375
109,70.59375,67.75
110,70.21875,65.125
111,71.5625,67.875
112,71.625,67.0
113,72.21875,67.875
114,70.46875,68.5
115,71.59375,70.125
116,72.5,69.125
117,72.25,65.875
118,71.28125,66.0
119,70.96875,69.125
120,71.90625,66.75
121,71.84375,66.875
122,71.125,67.0
123,70.78125,69.375
124,71.78125,68.125
125,71.4375,67.0
126,70.78125,63.5
127,71.21875,69.625
128,72.625,69.75
129,71.6875,68.125
130,71.625,68.875
131,72.125,67.0
132,71.8125,67.875
133,71.1875,68.75
134,73.375,67.625
135,73.09375,68.375
136,72.125,69.0
137,72.8125,69.75
138,71.625,68.875
139,72.34375,68.0
140,72.5625,69.0
141,73.375,68.875
142,73.875,68.375
143,72.21875,70.875
144,73.90625,62.75
145,73.46875,69.375
146,72.0,70.25
147,72.25,71.75
148,71.96875,65.625
149,72.40625,67.75
150,73.6875,72.25
151,74.15625,67.625
152,72.875,64.625
153,73.34375,67.375
154,73.0625,68.875
155,73.15625,69.75
156,71.59375,67.625
157,73.875,68.25
158,71.84375,69.75
159,72.5,69.125
160,73.5,68.625
161,73.0625,71.0
162,72.25,69.0
163,72.875,71.75
164,74.21875,70.75
165,72.34375,68.0
166,73.125,68.5
167,73.0,70.125
168,72.9375,69.75
169,73.3125,70.375
170,73.59375,67.875
171,72.875,68.125
172,73.34375,68.625
173,73.46875,68.5
174,72.84375,70.75
175,72.84375,68.125
176,73.59375,69.625
177,73.28125,70.125
178,72.75,67.75
179,73.46875,70.5
180,72.4375,69.5
181,73.21875,68.75
182,73.03125,69.0
183,73.28125,69.0
184,73.15625,70.0
185,73.71875,70.0
186,72.84375,70.0
187,74.0,71.375
188,72.875,62.875
189,73.71875,68.375
190,74.03125,69.125
191,74.9375,71.875
192,72.75,69.75
193,73.21875,70.75
194,74.40625,68.5
195,74.25,70.375
196,74.28125,71.75
197,74.59375,71.0
198,74.40625,69.75
199,73.125,71.75
