epoch,train_accuracy,validation_accuracy
0,36.71875,34.625
1,39.65625,49.875
2,42.40625,42.25
3,48.1875,55.875
4,53.75,59.125
5,53.59375,50.875
6,56.5625,58.25
7,56.125,58.0
8,59.625,60.25
9,59.1875,58.75
10,60.3125,64.625
11,62.3125,59.125
12,60.21875,65.375
13,63.09375,68.125
14,63.21875,67.375
15,64.09375,69.25
16,64.46875,59.75
17,64.71875,64.625
18,64.6875,68.25
19,66.71875,65.625
20,67.96875,69.375
21,67.65625,69.25
22,68.3125,68.25
23,67.4375,70.125
24,68.34375,69.25
25,69.5,70.375
26,70.5625,71.0
27,70.875,67.5
28,70.5,70.875
29,72.15625,70.75
30,71.40625,71.5
31,72.40625,70.875
32,71.96875,72.75
33,72.625,68.0
34,70.09375,71.625
35,73.125,72.125
36,73.34375,70.75
37,72.75,72.625
38,73.46875,71.625
39,73.8125,70.375
40,73.96875,71.875
41,72.125,72.125
42,74.25,72.25
43,73.5,73.875
44,74.125,69.875
45,75.03125,71.25
46,75.28125,74.375
47,73.71875,74.125
48,75.375,72.875
49,76.6875,74.625
50,76.3125,72.625
51,75.34375,73.125
52,76.5,72.125
53,76.53125,74.375
54,76.21875,74.75
55,77.34375,72.875
56,76.59375,70.75
57,78.71875,73.125
58,77.625,72.0
59,76.59375,71.5
60,78.25,72.625
61,77.78125,72.625
62,78.03125,73.25
63,77.8125,70.625
64,78.125,74.0
65,78.59375,72.5
66,79.34375,75.0
67,78.0,72.125
68,78.71875,67.875
69,80.6875,67.75
70,78.9375,72.875
71,78.4375,72.75
72,80.25,74.125
73,79.78125,70.25
74,78.78125,72.0
75,80.15625,70.375
76,80.71875,70.625
77,80.34375,72.75
78,80.96875,72.0
79,80.4375,73.875
80,81.46875,73.625
81,79.9375,72.25
82,81.4375,69.625
83,81.0,72.5
84,80.65625,74.75
85,80.90625,73.5
86,80.8125,70.0
87,81.65625,72.125
88,81.53125,73.875
89,81.21875,72.125
90,82.875,73.625
91,81.09375,73.875
92,81.875,72.625
93,82.6875,73.625
94,82.03125,73.5
95,82.40625,73.875
96,81.09375,74.5
97,83.0625,74.125
98,82.1875,73.875
99,83.03125,74.375
100,83.25,74.625
101,82.875,74.5
102,83.625,73.75
103,82.6875,74.625
104,82.53125,74.375
105,84.71875,73.875
106,83.53125,75.625
107,82.875,71.125
108,83.09375,75.75
109,83.96875,74.375
110,84.40625,74.0
111,83.40625,72.125
112,83.53125,72.25
113,83.5,74.25
114,84.09375,71.875
115,83.6875,72.5
116,84.4375,73.0
117,84.0,73.0
118,84.15625,75.25
119,83.65625,72.75
120,84.65625,74.625
121,85.0625,76.25
122,84.625,74.125
123,83.84375,72.875
124,84.40625,75.875
125,85.15625,73.75
126,85.15625,72.25
127,85.65625,74.0
128,85.625,73.875
129,85.5625,73.625
130,84.625,74.5
131,85.25,74.75
132,86.5625,75.25
133,85.65625,73.625
134,86.375,73.75
135,85.78125,74.875
136,86.1875,73.5
137,85.15625,73.875
138,85.375,75.125
139,86.1875,74.25
140,87.03125,72.875
141,85.28125,72.375
142,86.71875,73.5
143,86.21875,74.0
144,86.65625,74.25
145,85.84375,73.75
146,86.09375,73.125
147,85.875,73.875
148,85.90625,74.75
149,87.25,75.125
150,86.0,74.75
151,87.0,73.0
152,87.375,73.125
153,86.25,73.75
154,86.5625,75.375
155,86.84375,73.375
156,86.90625,70.75
157,86.34375,75.0
158,87.625,75.875
159,87.21875,76.75
160,86.84375,74.25
161,87.0,75.125
162,87.6875,74.625
163,86.5625,73.5
164,87.34375,72.375
165,87.0625,74.25
166,87.65625,74.25
167,86.90625,74.625
168,87.625,76.375
169,87.59375,71.875
170,87.8125,74.375
171,86.53125,73.125
172,87.25,74.375
173,87.65625,74.625
174,87.03125,73.875
175,88.09375,76.625
176,87.625,74.25
177,87.75,73.375
178,87.71875,75.5
179,88.28125,74.375
180,86.96875,73.75
181,87.375,76.125
182,88.0625,74.375
183,87.6875,75.25
184,87.25,75.125
185,87.5,74.875
186,87.65625,74.875
187,87.375,74.75
188,86.5,75.0
189,86.53125,72.75
190,87.09375,74.125
191,86.53125,73.625
192,87.875,77.125
193,87.9375,73.625
194,88.34375,74.5
195,88.90625,73.875
196,87.875,73.875
197,87.65625,76.625
198,87.78125,74.375
199,87.6875,74.125
