epoch,train_accuracy,validation_accuracy
0,48.875,60.25
1,63.3125,63.375
2,64.78125,69.875
3,67.90625,68.625
4,70.84375,70.5
5,72.96875,70.875
6,73.8125,71.875
7,74.875,66.75
8,74.90625,70.0
9,75.9375,75.125
10,77.875,72.875
11,77.9375,75.25
12,79.84375,77.25
13,79.90625,74.75
14,81.375,76.125
15,80.75,76.875
16,81.78125,73.5
17,81.25,76.0
18,84.4375,79.5
19,83.8125,74.75
20,83.90625,77.375
21,84.65625,76.125
22,86.3125,79.5
23,87.5625,80.0
24,86.21875,81.625
25,87.59375,79.25
26,87.8125,80.875
27,87.03125,79.625
28,88.25,79.75
29,88.1875,80.5
30,89.09375,77.0
31,89.5625,81.5
32,89.625,81.0
33,89.5625,79.625
34,90.3125,82.625
35,91.21875,82.25
36,91.0625,79.0
37,91.8125,79.125
38,90.84375,82.125
39,91.0625,80.875
40,91.15625,80.375
41,92.625,80.5
42,93.25,82.0
43,92.71875,80.625
44,93.0625,80.625
45,92.96875,80.25
46,93.34375,82.125
47,93.6875,80.125
48,93.21875,82.0
49,94.34375,80.5
50,95.0,82.75
51,93.75,81.0
52,94.59375,81.5
53,94.625,78.875
54,94.5,81.875
55,95.75,81.625
56,96.15625,80.125
57,94.90625,80.75
58,95.1875,82.5
59,95.6875,82.375
60,95.6875,83.375
61,95.625,84.875
62,96.6875,82.625
63,96.5,83.5
64,96.1875,83.625
65,96.78125,82.75
66,97.09375,80.0
67,95.84375,81.75
68,96.6875,83.0
69,96.59375,82.375
70,96.96875,83.375
71,96.75,83.25
72,97.3125,83.25
73,97.28125,82.875
74,97.96875,82.75
75,97.75,82.875
76,97.5,83.5
77,97.34375,83.0
78,97.53125,81.75
79,97.4375,83.75
80,97.4375,81.875
81,97.59375,83.625
82,98.0625,82.0
83,97.875,82.0
84,98.125,83.875
85,98.0625,81.75
86,98.46875,83.125
87,98.53125,84.375
88,98.5,81.0
89,97.84375,81.875
90,97.6875,80.875
91,98.1875,81.25
92,98.6875,85.375
93,98.3125,84.25
94,98.46875,83.125
95,98.46875,83.625
96,98.5625,83.625
97,98.28125,83.375
98,98.84375,81.875
99,98.8125,82.125
100,99.03125,83.625
101,99.375,83.125
102,99.15625,84.375
103,99.375,83.75
104,99.15625,82.5
105,99.125,84.25
106,99.21875,83.125
107,99.15625,82.0
108,99.03125,83.875
109,99.25,84.375
110,99.375,83.375
111,99.3125,85.0
112,99.53125,82.75
113,99.375,83.75
114,99.71875,83.25
115,99.375,84.75
116,99.15625,84.25
117,99.5,83.0
118,99.5,84.0
119,99.375,83.0
120,99.40625,84.875
121,99.71875,84.125
122,99.5625,85.5
123,99.59375,85.625
124,99.34375,83.875
125,99.5,84.125
126,99.5625,83.125
127,99.53125,83.625
128,99.75,83.5
129,99.78125,84.375
130,99.6875,83.625
131,99.8125,84.0
132,99.71875,84.25
133,99.71875,83.375
134,99.65625,83.5
135,99.75,83.0
136,99.8125,84.125
137,99.875,84.125
138,99.8125,84.75
139,99.8125,83.625
140,99.6875,84.0
141,99.84375,84.5
142,99.71875,83.0
143,99.78125,83.625
144,99.8125,84.25
145,99.8125,84.375
146,99.625,84.875
147,99.9375,83.625
148,99.875,83.875
149,99.875,84.875
150,99.90625,84.0
151,99.78125,85.125
152,99.90625,85.75
153,99.96875,84.25
154,99.96875,83.625
155,99.78125,84.5
156,99.875,83.125
157,99.84375,84.25
158,99.84375,84.0
159,99.90625,82.375
160,99.96875,86.5
161,99.875,84.5
162,99.96875,83.375
163,99.875,83.625
164,99.84375,85.25
165,99.9375,83.625
166,99.90625,84.5
167,99.90625,85.0
168,99.9375,83.625
169,99.90625,85.25
170,99.9375,82.875
171,99.90625,83.625
172,99.9375,83.875
173,99.84375,84.375
174,99.9375,83.875
175,99.9375,84.0
176,99.96875,82.75
177,99.8125,84.5
178,99.90625,84.5
179,99.9375,85.0
180,99.96875,84.875
181,99.96875,85.75
182,99.84375,86.25
183,99.96875,84.375
184,99.9375,84.375
185,99.96875,84.25
186,99.90625,82.875
187,99.96875,85.25
188,99.90625,84.0
189,99.9375,84.5
190,99.96875,84.5
191,99.96875,86.0
192,99.96875,85.625
193,99.9375,84.125
194,99.96875,84.875
195,99.9375,84.125
196,99.96875,84.0
197,99.9375,84.125
198,100.0,83.375
199,99.875,83.25
