epoch,train_accuracy,validation_accuracy
0,43.36,53.53
1,62.85,66.62
2,70.976,74.02
3,75.908,78.63
4,79.082,79.67
5,81.442,80.44
6,83.26,83.61
7,84.74,82.91
8,85.802,83.58
9,87.0,85.26
10,87.878,85.16
11,88.676,85.36
12,89.688,86.94
13,89.978,86.05
14,90.894,87.25
15,91.04,86.91
16,91.706,86.5
17,92.17,88.16
18,92.602,87.73
19,93.082,88.5
20,93.416,88.16
21,93.842,89.28
22,94.002,88.91
23,94.636,88.83
24,94.648,89.04
25,95.166,88.55
26,95.206,88.32
27,95.596,89.18
28,95.852,89.39
29,95.958,89.64
30,96.382,89.23
31,96.546,89.8
32,96.746,89.22
33,96.73,89.21
34,96.95,89.82
35,97.054,90.0
36,97.344,89.75
37,97.458,89.89
38,97.644,90.83
39,97.638,89.97
40,97.782,90.32
41,98.064,90.05
42,97.83,90.43
43,98.01,90.13
44,98.116,89.95
45,98.268,90.67
46,98.37,91.1
47,98.446,90.49
48,98.6,90.77
49,98.43,90.67
50,98.65,90.58
51,98.75,90.49
52,98.674,90.79
53,98.848,90.57
54,98.892,90.72
55,98.946,90.92
56,98.992,90.5
57,98.916,91.29
58,99.204,90.97
59,99.186,90.67
60,99.088,91.23
61,99.27,91.39
62,99.292,90.92
63,99.202,90.84
64,99.402,91.15
65,99.288,91.25
66,99.374,91.25
67,99.434,91.24
68,99.514,91.27
69,99.58,91.36
70,99.58,91.72
71,99.514,91.49
72,99.678,91.5
73,99.696,91.75
74,99.588,91.42
75,99.574,91.49
76,99.7,91.27
77,99.728,91.81
78,99.788,91.5
79,99.714,91.41
80,99.728,91.56
81,99.804,91.65
82,99.798,91.58
83,99.75,91.55
84,99.748,92.02
85,99.824,91.64
86,99.844,91.63
87,99.852,92.0
88,99.894,91.78
89,99.896,91.56
90,99.872,91.91
91,99.912,91.86
92,99.906,92.17
93,99.906,92.01
94,99.912,91.93
95,99.936,91.93
96,99.942,91.93
97,99.944,92.02
98,99.966,92.19
99,99.962,91.89
100,99.966,92.06
101,99.976,92.02
102,99.962,92.24
103,99.964,92.38
104,99.97,92.34
105,99.984,92.3
106,99.974,92.4
107,99.988,92.42
108,99.978,92.33
109,99.99,92.43
110,99.984,92.29
111,99.982,92.11
112,99.99,92.27
113,99.986,92.26
114,99.982,92.4
115,100.0,92.33
116,99.996,92.51
117,99.992,92.42
118,99.998,92.64
119,100.0,92.59
120,99.99,92.65
121,99.996,92.59
122,99.998,92.48
123,99.994,92.58
124,99.998,92.68
125,99.998,92.58
126,100.0,92.56
127,99.994,92.43
128,100.0,92.49
129,100.0,92.55
130,99.994,92.72
131,99.996,92.54
132,99.998,92.42
133,100.0,92.53
134,99.994,92.53
135,99.996,92.6
136,99.994,92.55
137,99.994,92.56
138,99.994,92.42
139,99.998,92.54
140,100.0,92.45
141,100.0,92.44
142,99.998,92.49
143,99.996,92.46
144,100.0,92.46
145,99.996,92.39
146,100.0,92.52
147,100.0,92.62
148,99.996,92.53
149,99.998,92.45
150,99.998,92.62
151,100.0,92.55
152,100.0,92.55
153,99.998,92.56
154,100.0,92.55
155,100.0,92.58
156,99.998,92.46
157,100.0,92.53
158,99.998,92.42
159,99.998,92.55
160,100.0,92.56
161,99.998,92.61
162,99.998,92.55
163,100.0,92.58
164,99.996,92.55
165,100.0,92.56
166,100.0,92.62
167,99.996,92.51
168,100.0,92.54
169,100.0,92.44
170,99.998,92.42
171,100.0,92.52
172,100.0,92.41
173,99.998,92.5
174,100.0,92.5
175,100.0,92.53
176,100.0,92.55
177,100.0,92.54
178,100.0,92.44
179,100.0,92.57
180,99.998,92.5
181,100.0,92.52
182,99.998,92.44
183,100.0,92.39
184,100.0,92.52
185,100.0,92.54
186,100.0,92.42
187,99.998,92.39
188,100.0,92.5
189,99.998,92.49
190,99.998,92.53
191,99.998,92.53
192,100.0,92.44
193,100.0,92.51
194,100.0,92.54
195,100.0,92.47
196,100.0,92.54
197,100.0,92.47
198,100.0,92.42
199,100.0,92.54
